PredictedProbability|PredictedLabel
0.222941|0
0.222941|0
0.281891|0
0.281891|0
0.281891|0
0.0948021|0
0.153753|0
0.0948021|0
0.0948021|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.222941|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0858678|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
0.0948021|0
