PredictedProbability|PredictedLabel
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.282632|0
0.396348|1
0.396348|1
0.396348|1
0.396348|1
0.396348|1
0.360441|1
0.302535|1
0.302535|1
0.302535|1
0.250027|0
0.250027|0
0.206342|0
0.250027|0
0.250027|0
0.250027|0
0.206342|0
0.250027|0
0.250027|0
0.206342|0
0.250027|0
0.250027|0
0.250027|0
0.3223|1
0.22036|0
0.148087|0
0.148087|0
0.148087|0
0.104402|0
0.104402|0
0.104402|0
