PredictedProbability|PredictedLabel
0.171868|0
0.171868|0
0.171868|0
0.230819|0
0.171868|0
0.171868|0
0.230819|0
0.230819|0
0.171868|0
0.21118|0
0.0961043|0
0.0961043|0
0.0961043|0
0.0961043|0
0.316878|1
0.0961043|0
0.0961043|0
0.0961043|0
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.386628|1
0.100978|0
0.100978|0
0.100978|0
