PredictedProbability|PredictedLabel
0.532175|1
0.532175|1
0.532175|1
0.532175|1
0.532175|1
0.532175|1
0.532175|1
0.488319|1
0.399921|1
0.385555|1
0.399921|1
0.399921|1
0.399921|1
0.399921|1
0.399921|1
0.399921|1
0.34187|1
0.399921|1
0.34187|1
0.399921|1
0.399921|1
0.34187|1
0.399921|1
0.399921|1
0.399921|1
0.34187|1
0.34187|1
0.399921|1
0.399921|1
0.399921|1
0.399921|1
0.34187|1
0.399921|1
0.34187|1
0.34187|1
0.385555|1
0.385555|1
0.399921|1
0.34187|1
0.385555|1
0.34187|1
0.399921|1
0.399921|1
0.385555|1
0.385555|1
